;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=1107162169;-12;7.5;0;4;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1883843212;-12;10;0;4;4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1346037476;-12;12.5;0;4;6.5;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-42075561;-12;15;10.77362166;4;9;1.8;0.780245257;139.9677654;7.397259801;27.78296498;222.2699377;203.6939115;25015.79835;0.302404825;0.008209004;4.937642953;10.7736261;53.19631898;-12;15;4;9;135.8927511;364.160422;30.04320514;2.67976341;0.706063403;77.50493514;23.18323159;0.739606573;222.4562015;2.647177468;0.014608356;2.539606573;27.78296498;10;10.77362166;29.29981617
CID=1261886354;-12;17.5;12.41999523;4;11.5;2.3;0.780245257;139.9677654;7.397259801;29.90626645;223.8230183;203.6939115;26043.13648;0.323163166;0.008780772;4.521879996;12.42000355;56.16176559;-12;17.5;4;11.5;135.8927511;394.8050249;33.33248074;2.905269205;0.720685204;82.82537543;26.18375268;1.848039056;231.6271594;3.233616618;0.017981186;4.148039056;29.90626645;10;12.41999523;33.63824145
CID=-1729119027;-12;20;14.40460029;4;14;2.8;0.780245257;139.9677654;7.397259801;32.02181818;225.3487805;203.6939115;27348.28271;0.351873789;0.009485931;4.193581888;14.40460961;60.40690996;-12;20;4;14;135.8927511;427.3713314;36.34407197;3.144916325;0.736988791;54.69820578;29.69589276;2.945429587;240.991008;3.970064909;0.022246791;5.745429587;32.02181818;10;14.40460029;37.72569394
CID=2028049456;-12;22.5;16.6503346;4;16.5;3.3;0.780245257;139.9677654;7.397259801;34.1298986;226.8474436;203.6939115;28317.99529;0.379396226;0.010305146;3.863700457;16.65034524;64.33194651;-12;22.5;4;16.5;135.8927511;461.9362892;39.66259124;3.39927101;0.753835083;70.31019617;33.55851029;4.032007497;250.5469879;4.77686781;0.026976289;7.332007497;34.1298986;10;16.6503346;42.60144887
CID=-962955925;-12;25;19.05035685;4;19;3.8;0.780245257;139.9677654;7.397259801;36.2307788;228.3192224;203.6939115;29290.64123;0.408122611;0.011206;3.587621579;19.05036235;68.34549104;-12;25;4;19;135.8927511;498.5780826;42.77795088;3.668908596;0.770128234;56.98896916;37.58339178;5.107999767;260.2943474;5.68430267;0.032353068;8.907999767;36.2307788;10;19.05035685;47.43746086
CID=341005990;-12;27.5;22.07693138;4;21.5;4.3;0.780245257;139.9677654;7.397259801;38.32472269;229.7643272;203.6939115;30111.8936;0.446381755;0.012345003;3.34365983;22.07694338;73.81778876;-12;27.5;4;21.5;135.8927511;537.3761508;45.86649264;3.954413657;0.788417103;59.09538886;42.5440356;6.173631289;270.2323509;6.826189161;0.039160368;10.47363129;38.32472269;10;22.07693138;47.80637116
CID=1644967905;-12;30;24.9223051;4;24;4.8;0.780245257;139.9677654;7.397259801;40.41198739;231.1829632;203.6939115;30914.67176;0.485967226;0.013460013;3.183879064;24.92232343;79.34966381;-12;30;4;24;135.8927511;578.4112193;48.1035487;4.256380232;0.803570527;64.60283888;47.12162996;7.229125204;280.3602894;8.107309278;0.0468821;12.0291252;40.41198739;10;24.9223051;47.74041456
