;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=358069319;-15;20;21.16909608;4;14;2.8;1.749912208;148.1061964;8.127938633;219.0933108;419.2435367;392.9623045;30364.41552;0.456325857;0.01145603;3.74795728;21.16910936;79.34091755;-15;20;4;14;163.9400843;571.706909;44.85959328;3.487291785;0.783178944;70.30837081;41.06741435;0;0;0;0;0;0;10;21.16909608;53.59478746
CID=358069160;-15;22.5;24.05851157;4;16.5;3.3;1.749912208;148.1061964;8.127938633;222.5675461;420.9082324;392.9623045;31138.87791;0.48756665;0.012619098;3.453195793;24.05852624;83.0788016;-15;22.5;4;16.5;163.9400843;617.2018999;48.59425076;3.764801651;0.799164636;56.91883716;45.73919727;0;0;0;0;0;0;10;24.05851157;58.44702676
CID=358069381;-15;25;27.84022264;4;19;3.8;1.749912208;148.1061964;8.127938633;226.0632575;422.5456569;392.9623045;32077.46325;0.53539033;0.014133724;3.209603982;27.84023712;89.35613592;-15;25;4;19;163.9400843;665.3809326;52.07913287;4.058683607;0.817299661;61.82591573;51.75441303;0;0;0;0;0;0;10;27.84022264;58.80299691
CID=358069478;-15;27.5;31.35461076;4;21.5;4.3;1.749912208;148.1061964;8.127938633;229.5812925;424.1560347;392.9623045;32919.61064;0.580250235;0.015630676;3.023537438;31.35462106;94.80187062;-15;27.5;4;21.5;163.9400843;716.3448726;54.94778049;4.369552912;0.831703814;67.38950131;57.27810474;0;0;0;0;0;0;10;31.35461076;58.57586477
CID=358069443;-15;30;36.42198414;4;24;4.8;1.749912208;148.1061964;8.127938633;233.1225601;425.7395938;392.9623045;33446.89465;0.627129621;0.01774102;2.752188886;36.42200536;100.2402384;-15;30;4;24;163.9400843;770.1963031;59.60395675;4.698035301;0.848991514;97.4739611;65.18028882;0;0;0;0;0;0;10;36.42198414;57.93918715
CID=358069284;-15;32.5;41.49580222;4;26.5;5.3;1.749912208;148.1061964;8.127938633;236.6880382;427.2965655;392.9623045;34403.20553;0.688997467;0.019957398;2.594780417;41.49583256;107.6725737;-15;32.5;4;26.5;163.9400843;827.0395933;62.55364907;5.044767404;0.862910237;88.66850121;73.06251831;0;0;0;0;0;0;10;41.49580222;58.39417169
CID=358069009;-15;35;48.03434678;4;29;5.8;1.749912208;148.1061964;8.127938633;240.2787811;428.8271845;392.9623045;35030.87426;0.915849107;0.02311328;2.863620986;48.83155601;139.8350686;-15;35;4;29;163.9400843;886.9809836;57.77283508;5.410397266;0.878354692;108.0498028;84.46687241;0;0;0;0;0;0;10;48.03434678;58.95311413
CID=358069106;-15;37.5;55.38153093;4;31.5;6.3;1.749912208;148.1061964;8.127938633;243.8959281;430.3316884;392.9623045;35901.57384;1.016805021;0.026134894;2.736859344;55.38152347;151.57144;-15;37.5;4;31.5;163.9400843;950.1286888;59.92140793;5.795584973;0.888577;108.6795145;94.69468565;0;0;0;0;0;0;10;55.38153093;56.58478599
CID=-175922982;-15;40;0;4;34;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175922885;-15;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175922920;-15;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175923079;-15;47.5;0;4;41.5;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175922858;-15;50;0;4;44;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175922761;-15;52.5;0;4;46.5;9.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175922796;-15;55;0;4;49;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175922955;-15;57.5;0;4;51.5;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175923230;-15;60;0;4;54;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-175923133;-15;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1257652161;-15;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1257652064;-15;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1257652099;-15;69.99;0;4;63.99;12.798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1257652258;-12;-5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1257652037;-12;-2.5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1257651940;-12;0;5.45377871;4;-6;0;1.747637729;148.2918459;9.127317106;191.9872538;404.2822725;394.8346401;19506.833;0.278085518;0.006151318;10.34308451;5.453781256;56.40892041;-12;0;4;-6;185.2441558;292.8031823;12.38673606;1.580633845;0.651074867;48.28126472;12.72689789;0;0;0;0;0;0;10;5.45377871;12.39907229
CID=-1257651975;-12;2.5;5.943935071;4;-3.5;0;1.747637729;148.2918459;9.127317106;195.3144074;406.1660193;394.8346401;19961.59224;0.252863018;0.006285685;8.48785526;5.943938326;50.45128819;-12;2.5;4;-3.5;185.2441558;320.2634909;16.80441866;1.728872306;0.656683621;39.5044574;13.75225403;0;0;0;0;0;0;10;5.943935071;15.64027501
CID=-1257652134;-12;5;7.329834137;4;-1;0;1.747637729;148.2918459;9.127317106;198.6579082;408.0209547;394.8346401;21495.49076;0.277275299;0.006593679;7.421031317;7.329838614;54.3949619;-12;5;4;-1;185.2441558;349.6586079;21.04878146;1.887555407;0.671917201;23.19041875;16.57427077;0;0;0;0;0;0;10;7.329834137;19.54446824
CID=-1257652409;-12;7.5;8.564914349;4;1.5;0.3;1.747637729;148.2918459;9.127317106;202.0182716;409.8472485;394.8346401;22770.68338;0.297577585;0.006961884;6.699168155;8.564918502;57.37782928;-12;7.5;4;1.5;185.2441558;381.0766891;24.48782724;2.057159036;0.684748743;41.8587639;19.00412014;0;0;0;0;0;0;10;8.564914349;23.97685129
CID=-1257652312;-12;10;9.993038834;4;4;0.8;1.747637729;148.2918459;9.127317106;205.3960427;411.6450801;394.8346401;23790.55473;0.32192561;0.007425694;6.102757716;9.993045596;60.98513612;-12;10;4;4;185.2441558;414.6074674;27.81446242;2.238167598;0.698760758;61.26103448;21.72826941;0;0;0;0;0;0;10;9.993038834;27.80646512
